,DateTime,P1,P2,P3,P4,P5,P6,target
3908022,2018-11-10 03:34:40,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3908024,2018-11-10 03:34:41,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3908025,2018-11-10 03:34:41,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3908026,2018-11-10 03:34:41,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3908027,2018-11-10 03:34:42,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3908028,2018-11-10 03:34:42,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3908029,2018-11-10 03:34:43,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3908030,2018-11-10 03:34:43,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3908031,2018-11-10 03:34:43,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3908032,2018-11-10 03:34:44,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3908033,2018-11-10 03:34:44,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3908034,2018-11-10 03:34:45,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3908035,2018-11-10 03:34:45,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3908036,2018-11-10 03:34:45,6.557377049180328,28.688524590163933,20.491803278688526,25.40983606557377,25.40983606557377,16.39344262295082,True
3908037,2018-11-10 03:34:46,6.557377049180328,28.688524590163933,22.131147540983605,26.229508196721312,27.049180327868854,17.21311475409836,True
3908038,2018-11-10 03:34:46,6.557377049180328,27.86885245901639,21.311475409836063,26.229508196721312,25.40983606557377,16.39344262295082,True
3908040,2018-11-10 03:34:47,5.737704918032787,27.049180327868854,22.131147540983605,28.688524590163933,28.688524590163933,18.0327868852459,True
3908041,2018-11-10 03:34:47,5.737704918032787,27.86885245901639,22.950819672131146,29.508196721311474,30.327868852459016,18.852459016393443,True
3908039,2018-11-10 03:34:47,6.557377049180328,27.049180327868854,21.311475409836063,26.229508196721312,25.40983606557377,16.39344262295082,True
3908042,2018-11-10 03:34:48,5.737704918032787,27.86885245901639,22.131147540983605,27.86885245901639,27.049180327868854,17.21311475409836,True
3908043,2018-11-10 03:34:48,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3908044,2018-11-10 03:34:49,5.737704918032787,27.049180327868854,22.131147540983605,27.049180327868854,27.049180327868854,17.21311475409836,True
3908045,2018-11-10 03:34:49,5.737704918032787,27.049180327868854,22.131147540983605,27.86885245901639,27.049180327868854,16.39344262295082,True
3908046,2018-11-10 03:34:49,5.737704918032787,27.86885245901639,22.950819672131146,28.688524590163933,28.688524590163933,18.0327868852459,True
3908047,2018-11-10 03:34:50,5.737704918032787,29.508196721311474,22.950819672131146,28.688524590163933,32.78688524590164,20.491803278688526,True
3908048,2018-11-10 03:34:50,4.918032786885246,27.049180327868854,21.311475409836063,28.688524590163933,30.327868852459016,17.21311475409836,True
3908050,2018-11-10 03:34:51,5.737704918032787,27.049180327868854,22.131147540983605,27.86885245901639,28.688524590163933,17.21311475409836,True
3908049,2018-11-10 03:34:51,6.557377049180328,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,16.39344262295082,True
3908051,2018-11-10 03:34:51,5.737704918032787,27.049180327868854,22.131147540983605,28.688524590163933,28.688524590163933,18.0327868852459,True
3908052,2018-11-10 03:34:52,5.737704918032787,27.049180327868854,22.131147540983605,27.86885245901639,27.049180327868854,17.21311475409836,True
3908053,2018-11-10 03:34:52,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908054,2018-11-10 03:34:53,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3908055,2018-11-10 03:34:53,5.737704918032787,27.049180327868854,21.311475409836063,26.229508196721312,26.229508196721312,17.21311475409836,True
3908056,2018-11-10 03:34:53,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908058,2018-11-10 03:34:54,4.918032786885246,27.049180327868854,22.131147540983605,28.688524590163933,31.147540983606557,19.672131147540984,True
3908057,2018-11-10 03:34:54,5.737704918032787,27.049180327868854,22.131147540983605,28.688524590163933,28.688524590163933,18.0327868852459,True
3908060,2018-11-10 03:34:55,4.918032786885246,28.688524590163933,22.950819672131146,29.508196721311474,31.967213114754102,21.311475409836063,True
3908061,2018-11-10 03:34:55,5.737704918032787,29.508196721311474,23.770491803278688,29.508196721311474,30.327868852459016,20.491803278688526,True
3908059,2018-11-10 03:34:55,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908062,2018-11-10 03:34:56,6.557377049180328,29.508196721311474,22.131147540983605,27.86885245901639,28.688524590163933,19.672131147540984,True
3908063,2018-11-10 03:34:56,5.737704918032787,28.688524590163933,21.311475409836063,27.049180327868854,27.86885245901639,18.0327868852459,True
3908064,2018-11-10 03:34:57,5.737704918032787,27.86885245901639,21.311475409836063,25.40983606557377,26.229508196721312,17.21311475409836,True
3908065,2018-11-10 03:34:57,7.377049180327869,27.049180327868854,20.491803278688526,25.40983606557377,26.229508196721312,17.21311475409836,True
3908066,2018-11-10 03:34:57,6.557377049180328,27.86885245901639,21.311475409836063,26.229508196721312,27.049180327868854,18.0327868852459,True
3908067,2018-11-10 03:34:58,6.557377049180328,27.049180327868854,21.311475409836063,26.229508196721312,27.049180327868854,18.0327868852459,True
3908068,2018-11-10 03:34:58,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.86885245901639,18.852459016393443,True
3908071,2018-11-10 03:34:59,5.737704918032787,28.688524590163933,21.311475409836063,25.40983606557377,24.59016393442623,17.21311475409836,True
3908070,2018-11-10 03:34:59,5.737704918032787,27.86885245901639,21.311475409836063,25.40983606557377,25.40983606557377,18.0327868852459,True
3908069,2018-11-10 03:34:59,4.918032786885246,28.688524590163933,21.311475409836063,27.86885245901639,30.327868852459016,22.131147540983605,True
3908072,2018-11-10 03:35:00,5.737704918032787,27.86885245901639,21.311475409836063,25.40983606557377,25.40983606557377,17.21311475409836,True
3908073,2018-11-10 03:35:00,5.737704918032787,29.508196721311474,21.311475409836063,23.770491803278688,23.770491803278688,17.21311475409836,True
3908074,2018-11-10 03:35:01,5.737704918032787,30.327868852459016,22.950819672131146,28.688524590163933,29.508196721311474,18.852459016393443,True
3908075,2018-11-10 03:35:01,5.737704918032787,30.327868852459016,26.229508196721312,33.60655737704918,34.42622950819672,21.311475409836063,True
3908076,2018-11-10 03:35:01,5.737704918032787,29.508196721311474,23.770491803278688,29.508196721311474,28.688524590163933,18.0327868852459,True
3908077,2018-11-10 03:35:02,5.737704918032787,27.86885245901639,23.770491803278688,30.327868852459016,31.147540983606557,19.672131147540984,True
3908078,2018-11-10 03:35:02,5.737704918032787,27.86885245901639,22.950819672131146,29.508196721311474,30.327868852459016,18.852459016393443,True
3908081,2018-11-10 03:35:03,5.737704918032787,27.86885245901639,22.131147540983605,28.688524590163933,29.508196721311474,18.852459016393443,True
3908080,2018-11-10 03:35:03,5.737704918032787,27.86885245901639,22.950819672131146,29.508196721311474,30.327868852459016,18.852459016393443,True
3908079,2018-11-10 03:35:03,6.557377049180328,27.86885245901639,22.950819672131146,28.688524590163933,29.508196721311474,18.852459016393443,True
3908082,2018-11-10 03:35:04,4.918032786885246,27.86885245901639,22.950819672131146,28.688524590163933,29.508196721311474,18.852459016393443,True
3908083,2018-11-10 03:35:04,4.918032786885246,27.049180327868854,22.950819672131146,28.688524590163933,29.508196721311474,18.0327868852459,True
3908084,2018-11-10 03:35:05,4.918032786885246,27.049180327868854,22.131147540983605,28.688524590163933,29.508196721311474,18.0327868852459,True
3908085,2018-11-10 03:35:05,5.737704918032787,27.049180327868854,22.131147540983605,28.688524590163933,28.688524590163933,18.0327868852459,True
3908086,2018-11-10 03:35:05,5.737704918032787,27.049180327868854,22.131147540983605,27.86885245901639,28.688524590163933,18.0327868852459,True
3908087,2018-11-10 03:35:06,5.737704918032787,27.049180327868854,22.131147540983605,27.86885245901639,27.86885245901639,18.0327868852459,True
3908088,2018-11-10 03:35:06,5.737704918032787,27.86885245901639,21.311475409836063,27.86885245901639,27.86885245901639,17.21311475409836,True
3908089,2018-11-10 03:35:07,5.737704918032787,27.86885245901639,21.311475409836063,27.049180327868854,27.86885245901639,17.21311475409836,True
3908090,2018-11-10 03:35:07,5.737704918032787,27.049180327868854,22.131147540983605,27.049180327868854,27.049180327868854,17.21311475409836,True
3908091,2018-11-10 03:35:07,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.86885245901639,17.21311475409836,True
3908092,2018-11-10 03:35:08,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908093,2018-11-10 03:35:08,5.737704918032787,27.049180327868854,22.131147540983605,27.049180327868854,27.86885245901639,17.21311475409836,True
3908095,2018-11-10 03:35:09,5.737704918032787,27.86885245901639,22.131147540983605,27.049180327868854,27.049180327868854,17.21311475409836,True
3908094,2018-11-10 03:35:09,5.737704918032787,27.86885245901639,22.131147540983605,27.049180327868854,27.86885245901639,17.21311475409836,True
3908096,2018-11-10 03:35:09,5.737704918032787,27.86885245901639,22.131147540983605,27.86885245901639,27.049180327868854,17.21311475409836,True
3908098,2018-11-10 03:35:10,5.737704918032787,27.049180327868854,22.131147540983605,27.049180327868854,27.049180327868854,18.0327868852459,True
3908097,2018-11-10 03:35:10,5.737704918032787,27.049180327868854,22.131147540983605,27.049180327868854,27.86885245901639,17.21311475409836,True
3908100,2018-11-10 03:35:11,5.737704918032787,27.049180327868854,22.131147540983605,27.049180327868854,27.049180327868854,17.21311475409836,True
3908101,2018-11-10 03:35:11,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.86885245901639,17.21311475409836,True
3908099,2018-11-10 03:35:11,5.737704918032787,27.86885245901639,21.311475409836063,27.049180327868854,27.049180327868854,18.0327868852459,True
3908102,2018-11-10 03:35:12,5.737704918032787,27.049180327868854,22.131147540983605,27.049180327868854,27.049180327868854,17.21311475409836,True
3908103,2018-11-10 03:35:12,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908104,2018-11-10 03:35:13,5.737704918032787,27.86885245901639,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908105,2018-11-10 03:35:13,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908106,2018-11-10 03:35:13,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908107,2018-11-10 03:35:14,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908108,2018-11-10 03:35:14,5.737704918032787,27.86885245901639,22.131147540983605,27.049180327868854,27.049180327868854,17.21311475409836,True
3908111,2018-11-10 03:35:15,5.737704918032787,27.86885245901639,21.311475409836063,27.049180327868854,27.86885245901639,17.21311475409836,True
3908110,2018-11-10 03:35:15,5.737704918032787,27.049180327868854,22.131147540983605,27.049180327868854,27.049180327868854,17.21311475409836,True
3908109,2018-11-10 03:35:15,5.737704918032787,27.86885245901639,22.131147540983605,27.049180327868854,27.049180327868854,17.21311475409836,True
3908112,2018-11-10 03:35:16,5.737704918032787,27.049180327868854,22.131147540983605,27.049180327868854,27.049180327868854,17.21311475409836,True
3908113,2018-11-10 03:35:16,5.737704918032787,27.86885245901639,22.131147540983605,27.049180327868854,27.049180327868854,17.21311475409836,True
3908114,2018-11-10 03:35:17,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908115,2018-11-10 03:35:17,5.737704918032787,27.049180327868854,22.131147540983605,27.049180327868854,27.049180327868854,17.21311475409836,True
3908116,2018-11-10 03:35:17,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908117,2018-11-10 03:35:18,5.737704918032787,27.049180327868854,22.131147540983605,27.049180327868854,27.049180327868854,17.21311475409836,True
3908118,2018-11-10 03:35:18,5.737704918032787,27.86885245901639,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908121,2018-11-10 03:35:19,5.737704918032787,27.049180327868854,22.131147540983605,27.86885245901639,27.049180327868854,17.21311475409836,True
3908120,2018-11-10 03:35:19,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908119,2018-11-10 03:35:19,5.737704918032787,27.049180327868854,21.311475409836063,27.049180327868854,27.049180327868854,17.21311475409836,True
3908122,2018-11-10 03:35:20,5.737704918032787,27.049180327868854,22.131147540983605,27.049180327868854,27.86885245901639,17.21311475409836,True
